site_id,transect_id,site_name,grant,r1_transect_length,r2_transect_length,r3_transect_length,sum_transect_lengths,r1_date,r2_date,r3_date,total_#_rounds,area_m2,acres,,,,,,,,,,,,,,,,,,
byd1,tbyd1a,Boyd Farm 1,iacig,100,100,100,300,6/18/2018,7/11/2018,8/8/2018,3,1000,0.25,,,,,,,,,,,,,,,,,,
byd2,tbyd2a,Boyd Farm 2,iacig,100,100,100,300,6/18/2018,7/11/2018,8/8/2018,3,1000,0.25,,,,,,,,,,,,,,,,,,
cra1,tcra1a,Crawfordsville,iacig,70,70,70,210,6/18/2018,7/17/2018,8/13/2018,3,616,0.15,,,,,,,,,,,,,,,,,,
uth1,tuth1a,Uthe North Riparian 1,iacig,100,100,100,300,6/18/2018,7/11/2018,8/10/2018,3,500,0.12,,,,,,,,,,,,,,,,,,
uth2,tuth2a,Uthe North Riparian 2,iacig,100,100,100,300,6/18/2018,7/11/2018,8/10/2018,3,600,0.15,,,,,,,,,,,,,,,,,,
uth3,tuth3b,Uthe South Oxbow,iacig,100,100,100,300,6/18/2018,7/12/2018,8/10/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
all1,tall1a,Allee Res. Farm 1,ncig,50,50,50,150,6/19/2018,7/17/2018,8/15/2018,3,1498,0.37,,,,,,,,,,,,,,,,,,
all2,tall2a,Allee Res. Farm 2,ncig,50,50,50,150,6/19/2018,7/17/2018,8/15/2018,3,1440,0.36,,,,,,,,,,,,,,,,,,
arm1,tarm1b,Armstrong Res. Farm 1,ncig,60,60,60,180,6/15/2018,7/16/2018,8/9/2018,3,1440,0.36,,,,,,,,,,,,,,,,,,
arm2,tarm2a,Armstrong Res. Farm 2,ncig,100,100,100,300,6/15/2018,7/16/2018,8/9/2018,3,2500,0.62,,,,,,,,,,,,,,,,,,
ber1,tber1a,Berry Patch 1,ncig,50,50,50,150,6/15/2018,7/17/2018,8/14/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
ber3,tber3a,Berry Patch 3,ncig,50,50,50,150,6/15/2018,7/17/2018,8/14/2018,3,657,0.16,,,,,,,,,,,,,,,,,,
cre1,tcre1a,Crees,ncig,100,100,100,300,6/14/2018,7/18/2018,8/14/2018,3,3134,0.77,,,,,,,,,,,,,,,,,,
dun2,tdun2a,Dunbar 2,ncig,100,100,100,300,6/15/2018,7/17/2018,8/14/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
dun3,tdun3a,Dunbar 3,ncig,100,100,100,300,6/15/2018,7/17/2018,8/14/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
pio1,tpio1a,DuPont Pioneer 1,ncig,80,80,80,240,6/15/2018,7/17/2018,8/14/2018,3,4500,1.11,,,,,,,,,,,,,,,,,,
pio2,tpio2a,DuPont Pioneer 2,ncig,80,80,80,240,6/15/2018,7/17/2018,8/14/2018,3,4500,1.11,,,,,,,,,,,,,,,,,,
gro1,tgro1a,Gronau 1,ncig,60,60,60,180,6/14/2018,7/12/2018,8/10/2018,3,860,0.21,,,,,,,,,,,,,,,,,,
gro2,tgro2a,Gronau 2,ncig,60,60,60,180,6/14/2018,7/12/2018,8/10/2018,3,860,0.21,,,,,,,,,,,,,,,,,,
nkn1,tnkn1a,Neely-Kinyon 1,ncig,100,100,100,300,6/15/2018,7/16/2018,8/9/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
nkn2,tnkn2a,Neely-Kinyon 2,ncig,100,100,100,300,6/15/2018,7/16/2018,8/9/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
nor1,tnor1b,Norris,ncig,50,50,50,150,6/14/2018,7/16/2018,8/10/2018,3,750,0.19,,,,,,,,,,,,,,,,,,
sut2,tsut2a,Sutherland NWRF,ncig,70,70,70,210,6/19/2018,7/17/2018,8/15/2018,3,2100,0.52,,,,,,,,,,,,,,,,,,
sie1,tsie1a,Sievers,ncig,30,30,30,90,6/19/2018,7/17/2018,8/15/2018,3,530,0.13,,,,,,,,,,,,,,,,,,
prd1,tprd1a,Prairie Ridge 1,ncig,100,100,100,300,6/19/2018,7/17/2018,8/15/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
prd2,tprd2a,Prairie Ridge 2,ncig,100,100,100,300,6/19/2018,7/17/2018,8/15/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
ver1,tver1a,Verhofste 1,ncig,100,100,100,300,6/14/2018,7/18/2018,8/14/2018,3,3500,0.86,,,,,,,,,,,,,,,,,,
har1,thar1a,Haren,soy,30,30,30,90,6/15/2018,7/11/2018,8/8/2018,3,350,0.09,,,,,,,,,,,,,,,,,,
nie1,tnie1a,Nielsen,soy,50,50,50,150,6/15/2018,7/11/2018,8/8/2018,3,1080,0.27,,,,,,,,,,,,,,,,,,
van1,tvan1a,Van Diest 1,soy,50,50,50,150,6/15/2018,7/11/2018,8/8/2018,3,1000,0.25,,,,,,,,,,,,,,,,,,
van2,tvan2a,Van Diest 2,soy,50,50,50,150,6/15/2018,7/11/2018,8/8/2018,3,750,0.19,,,,,,,,,,,,,,,,,,
fis1,tfis1a,Fisher,soy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
vos1,tvos1a,Voss,soy,50,50,50,150,6/15/2018,7/11/2018,8/8/2018,3,600,0.15,,,,,,,,,,,,,,,,,,
jon1,tjon1a,Jones,soy,50,50,50,150,6/15/2018,7/11/2018,8/8/2018,3,650,0.16,,,,,,,,,,,,,,,,,,
pre1,tpre1a,Prestage 1a,pork,80,80,80,240,6/18/2018,7/16/2018,8/13/2018,3,1790,0.44,,,,,,,,,,,,,,,,,,
pre1,tpre1b,Prestage 1b,pork,100,100,100,300,6/18/2018,7/16/2018,8/13/2018,3,2000,0.49,,,,,,,,,,,,,,,,,,
pre2,tpre2a,Prestage 2a,pork,100,100,100,300,6/18/2018,7/16/2018,8/13/2018,3,1200,0.30,,,,,,,,,,,,,,,,,,
pre2,tpre2b,Prestage 2b,pork,50,50,50,150,6/18/2018,7/16/2018,8/13/2018,3,1900,0.47,,,,,,,,,,,,,,,,,,
pre3,tpre3a,Prestage 3a,pork,100,100,100,300,6/18/2018,7/16/2018,8/13/2018,3,2600,0.64,,,,,,,,,,,,,,,,,,
pre3,tpre3b,Prestage 3b,pork,50,50,50,150,6/18/2018,7/16/2018,8/13/2018,3,450,0.11,,,,,,,,,,,,,,,,,,
pre4,tpre4a,Prestage 4a,pork,80,80,80,240,6/18/2018,7/16/2018,8/13/2018,3,2100,0.52,,,,,,,,,,,,,,,,,,
pre4,tpre4b,Prestage 4b,pork,100,100,100,300,6/18/2018,7/16/2018,8/13/2018,3,1000,0.25,,,,,,,,,,,,,,,,,,
bcr1,tbcr1a,Ben Crawford 1,pork,50,50,50,150,6/14/2018,7/16/2018,8/10/2018,3,825,0.20,,,,,,,,,,,,,,,,,,
bcr2,tbcr2a,Ben Crawford 2,pork,50,50,50,150,6/14/2018,7/16/2018,8/10/2018,3,275,0.07,,,,,,,,,,,,,,,,,,
tie1,ttie1a,Tiernan,pork,30,30,30,90,6/14/2018,7/12/2018,8/10/2018,3,600,0.15,,,,,,,,,,,,,,,,,,
app1,tapp1a,Appelgate,pork,50,50,50,150,6/18/2018,7/17/2018,8/13/2018,3,1000,0.25,,,,,,,,,,,,,,,,,,
