siteID,transectID,grant,county
byd1,tbyd1a,iacig,Boone
byd2,tbyd2a,iacig,Boone
cra1,tcra1a,iacig,Washington
uth1,tuth1a,iacig,Boone
uth2,tuth2a,iacig,Boone
uth3,tuth3b,iacig,Boone
all1,tall1a,ncig,Buena Vista 
all2,tall2a,ncig,Buena Vista 
arm1,tarm1b,ncig,Pottawattomie
arm2,tarm2a,ncig,Pottawattomie 
ber1,tber1a,ncig,Story
ber3,tber3a,ncig,Story
cre1,tcre1a,ncig,Decatur
dun2,tdun2a,ncig,Polk
dun3,tdun3a,ncig,Polk
pio1,tpio1a,ncig,Polk
pio2,tpio2a,ncig,Polk
gro1,tgro1a,ncig,Crawford
gro2,tgro2a,ncig,Crawford
nkn1,tnkn1a,ncig,Adair
nkn2,tnkn2a,ncig,Adair
nor1,tnor1b,ncig,Cerro Gordo
sut2,tsut2a,ncig,O'Brien
sie1,tsie1a,ncig,Buena Vista 
prd1,tprd1a,ncig,Sioux
prd2,tprd2a,ncig,Sioux
ver1,tver1a,ncig,Madison
har1,thar1a,soy,Hamilton
nie1,tnie1a,soy,Wright
van1,tvan1a,soy,Hamilton
dav1,tdav1a,soy,Hamilton
fis1,tfis1a,soy,Wright
vos1,tvos1a,soy,Wright
jon1,tjon1a,soy,Wright
pre1,tpre1a,pork,Hamilton
pre2,tpre2a,pork,Hamilton
pre3,tpre3a,pork,Hamilton
pre4,tpre4a,pork,Hamilton
pre5,tpre5a,pork,Hamilton
pre6,tpre6a,pork,Hamilton
pre7,tpre7a,pork,Hamilton
pre8,tpre8a,pork,Hamilton
bcr1,tbcr1a,pork,Hamilton
bcr2,tbcr2a,pork,Hamilton
tie1,ttie1a,pork,Dallas
app1,tapp1a,pork,Marshall
